╧ ВЕЙС;дЮРЮ ОПНДЮФС;пЁЙ;лЁЯЪЖЭ;дЕМЭ;рНБЮП ID;рНБЮП  ID МНБХИ;йЁКЭЙЁЯРЭ;жЁМЮ НДХМХЖЁ;бХПСВЙЮ, ЦПМ;оНЙСОЕЖЭ;яНАЁБЮПРЁЯРЭ, ЦПМ;дЮРЮ БЁДБЮМРЮФЕММЪ
100000110;03.03.2018;2018;3;3;ую-3270;10163;1;1318.6912;1318.6912;;763.42;03.03.2018
100000110;03.03.2018;2018;3;3;ую-3237;10130;1;109.6704;109.6704;;60.48;03.03.2018
100000110;03.03.2018;2018;3;3;ую-3153;10046;1;410.06936;410.06936;;200.55;03.03.2018
100000110;03.03.2018;2018;3;3;ую-3176;10069;1;1266.25032;1266.25032;;728.14;03.03.2018
100000115;22.05.2016;2016;5;22;ую-3185;10078;1;729.3952;729.3952;;444.14;24.05.2016
100000115;22.05.2016;2016;5;22;ую-3400;10293;2;199.234;398.468;;218.28;24.05.2016
100000119;27.12.2016;2016;12;27;ую-3406;10299;1;395.577;395.577;;205.66;27.12.2016
100000119;27.12.2016;2016;12;27;ую-3386;10279;1;660.4542;660.4542;;333.9;27.12.2016
100000134;22.09.2017;2017;9;22;ую-3256;10149;1;1845.299;1845.299;о╡а 1051;1002.82;27.09.2017
100000146;26.12.2017;2017;12;26;ую-3224;10117;1;86.94;86.94;;47.25;26.12.2017
100000146;26.12.2017;2017;12;26;ую-3280;10173;1;2124.279756;2124.279756;;1906.05;26.12.2017
100000146;26.12.2017;2017;12;26;ую-3232;10125;1;230.0672;230.0672;;147.44;26.12.2017
100000146;26.12.2017;2017;12;26;ую-3186;10079;1;1739.16288;1739.16288;;779.22;26.12.2017
100000146;26.12.2017;2017;12;26;ую-3322;10215;1;432.779776;432.779776;;282.7;26.12.2017
100000149;10.08.2018;2018;8;10;ую-3394;10287;1;114.1254;114.1254;;47.94;14.08.2018
100000149;10.08.2018;2018;8;10;ую-3233;10126;1;299.439;299.439;;204.75;14.08.2018
100000155;20.11.2017;2017;11;20;ую-3211;10104;1;3296.1576;3296.1576;;2037.6;24.11.2017
100000194;06.12.2016;2016;12;6;ую-3387;10280;1;479.52;479.52;;234;06.12.2016
100000194;06.12.2016;2016;12;6;ую-3128;10021;1;558.272;558.272;;253;06.12.2016
100000194;06.12.2016;2016;12;6;ую-3306;10199;1;299.8904;299.8904;;202.95;06.12.2016
100000221;26.07.2017;2017;7;26;ую-3145;10038;1;530.42496;530.42496;;222.78;26.07.2017
100000223;03.08.2018;2018;8;3;ую-3342;10235;1;1006.577024;1006.577024;о╡а 280;1010.9;03.08.2018
100000224;28.07.2017;2017;7;28;ую-3223;10116;2;59.241;118.482;о╡а 823;73.16;02.08.2017
100000224;28.07.2017;2017;7;28;ую-3303;10196;1;629.4912;629.4912;о╡а 823;409.5;02.08.2017
100000224;28.07.2017;2017;7;28;ую-3247;10140;2;505.89;1011.78;о╡а 823;429.24;02.08.2017
100000228;06.03.2017;2017;3;6;ую-3234;10127;1;655.9488;655.9488;;335.8;06.03.2017
100000228;06.03.2017;2017;3;6;ую-3437;10330;2;537.82344;1075.64688;;574.56;06.03.2017
100000255;30.03.2016;2016;3;30;ую-3294;10187;1;3299.64288;3299.64288;;1910.08;30.03.2016
100000259;27.02.2016;2016;2;27;ую-3256;10149;1;2192.6494;2192.6494;;1102;27.02.2016
100000280;28.07.2016;2016;7;28;ую-3314;10207;1;208.3312;208.3312;;145.6;01.08.2016
100000280;28.07.2016;2016;7;28;ую-3289;10182;2;4825.92768;9651.85536;;5166.24;01.08.2016
100000280;28.07.2016;2016;7;28;ую-3248;10141;1;490.4064;490.4064;;265.74;01.08.2016
100000284;04.05.2016;2016;5;4;ую-3411;10304;1;636.272;636.272;;418;04.05.2016
100000284;04.05.2016;2016;5;4;ую-3303;10196;1;628.84224;628.84224;;417.3;04.05.2016
100000284;04.05.2016;2016;5;4;ую-3135;10028;1;1054.10928;1054.10928;;482.51;04.05.2016
100000284;04.05.2016;2016;5;4;ую-3170;10063;1;1322.14008;1322.14008;;597;04.05.2016
100000284;04.05.2016;2016;5;4;ую-3359;10252;1;676.498;676.498;;386.75;04.05.2016
100000286;08.02.2016;2016;2;8;ую-3391;10284;1;399.21882;399.21882;о╡а 904;245.31;13.02.2016
100000286;08.02.2016;2016;2;8;ую-3167;10060;1;784.036;784.036;о╡а 904;318.32;13.02.2016
100000286;08.02.2016;2016;2;8;ую-3182;10075;1;2146.3552;2146.3552;о╡а 904;791.04;13.02.2016
100000292;25.05.2016;2016;5;25;ую-3293;10186;1;3294.7596;3294.7596;;2559.45;30.05.2016
100000294;29.03.2017;2017;3;29;ую-3261;10154;2;2254.6836;4509.3672;;1895.4;29.03.2017
100000294;29.03.2017;2017;3;29;ую-3301;10194;1;239.274;239.274;;137.7;29.03.2017
100000294;29.03.2017;2017;3;29;ую-3184;10077;1;2217.61152;2217.61152;;1042.44;29.03.2017
100000314;20.09.2016;2016;9;20;ую-3166;10059;2;483.14;966.28;;578.2;20.09.2016
100000314;20.09.2016;2016;9;20;ую-3323;10216;1;594.33472;594.33472;;393.76;20.09.2016
100000326;01.09.2018;2018;9;1;ую-3268;10161;1;593.540136;593.540136;о╡а 943;386.88;03.09.2018
100000326;01.09.2018;2018;9;1;ую-3445;10338;1;1272.0636;1272.0636;о╡а 943;483.21;03.09.2018
100000360;29.09.2017;2017;9;29;ую-3128;10021;1;535.94112;535.94112;;202.4;01.10.2017
100000367;15.06.2016;2016;6;15;ую-3439;10332;1;1623.683;1623.683;;977.91;15.06.2016
100000367;15.06.2016;2016;6;15;ую-3353;10246;1;235.296;235.296;;136.8;15.06.2016
100000412;25.03.2017;2017;3;25;ую-3222;10115;1;294.6944;294.6944;о╡а 140;193.2;25.03.2017
100000416;16.03.2018;2018;3;16;ую-3150;10043;1;285.648;285.648;;186.45;20.03.2018
100000419;20.01.2017;2017;1;20;ую-3153;10046;1;466.78108;466.78108;о╡а 579;196.73;22.01.2017
100000443;26.07.2018;2018;7;26;ую-3257;10150;1;878.712;878.712;;747.3;26.07.2018
100000445;13.01.2018;2018;1;13;ую-3213;10106;1;315.84555;315.84555;;186.03;13.01.2018
100000448;04.10.2016;2016;10;4;ую-3261;10154;2;2318.4954;4636.9908;;2464.02;08.10.2016
100000448;04.10.2016;2016;10;4;ую-3134;10027;1;374.5364;374.5364;;187.15;08.10.2016
100000502;31.07.2017;2017;7;31;ую-3268;10161;2;665.4708;1330.9416;;810.96;05.08.2017
100000508;25.03.2016;2016;3;25;ую-3331;10224;1;269.9648;269.9648;о╡а 622;127.07;25.03.2016
100000526;04.09.2016;2016;9;4;ую-3344;10237;1;1366.1472;1366.1472;;738.17;04.09.2016
100000535;23.04.2018;2018;4;23;ую-3435;10328;1;510.2508;510.2508;;293.82;23.04.2018
100000559;24.04.2017;2017;4;24;ую-3386;10279;1;585.653922;585.653922;о╡а 372;359.87;24.04.2017
100000559;24.04.2017;2017;4;24;ую-3173;10066;1;2312.24832;2312.24832;о╡а 372;1030.56;24.04.2017
100000559;24.04.2017;2017;4;24;ую-3216;10109;2;549.475308;1098.950616;о╡а 372;571.16;24.04.2017
100000564;04.02.2017;2017;2;4;ую-3155;10048;1;420.79672;420.79672;;274.32;06.02.2017
100000564;04.02.2017;2017;2;4;ую-3270;10163;1;1247.0232;1247.0232;;810.16;06.02.2017
100000564;04.02.2017;2017;2;4;ую-3341;10234;1;408.672;408.672;;242.52;06.02.2017
100000564;04.02.2017;2017;2;4;ую-3276;10169;1;589.372;589.372;;359.6;06.02.2017
100000564;04.02.2017;2017;2;4;ую-3417;10310;1;318.103296;318.103296;;170.64;06.02.2017
100000578;11.01.2018;2018;1;11;ую-3366;10259;1;3006.8172;3006.8172;;1717;11.01.2018
100000578;11.01.2018;2018;1;11;ую-3334;10227;1;653.14656;653.14656;;400.67;11.01.2018
100000601;01.12.2017;2017;12;1;ую-3242;10135;2;685.4544;1370.9088;;819.18;01.12.2017
100000622;24.03.2017;2017;3;24;ую-3298;10191;1;239.46336;239.46336;о╡а 1252;157.68;24.03.2017
100000622;24.03.2017;2017;3;24;ую-3151;10044;1;499.63536;499.63536;о╡а 1252;294.84;24.03.2017
100000622;24.03.2017;2017;3;24;ую-3241;10134;1;579.672;579.672;о╡а 1252;380.24;24.03.2017
100000622;24.03.2017;2017;3;24;ую-3368;10261;1;2081.04368;2081.04368;о╡а 1252;1133.14;24.03.2017
100000622;24.03.2017;2017;3;24;ую-3211;10104;1;4084.3692;4084.3692;о╡а 1252;1579.14;24.03.2017
100000636;04.06.2017;2017;6;4;ую-3241;10134;1;691.416;691.416;;403.52;04.06.2017
100000642;08.02.2018;2018;2;8;ую-3306;10199;1;322.821044;322.821044;;202.95;08.02.2018
100000642;08.02.2018;2018;2;8;ую-3138;10031;1;98.1902592;98.1902592;;57.6;08.02.2018
100000642;08.02.2018;2018;2;8;ую-3197;10090;2;1745.126127;3490.252254;;1706.94;08.02.2018
100000642;08.02.2018;2018;2;8;ую-3153;10046;2;353.35764;706.71528;;355.26;08.02.2018
100000642;08.02.2018;2018;2;8;ую-3344;10237;1;1288.4010048;1288.4010048;;692.51;08.02.2018
100000660;23.01.2016;2016;1;23;ую-3187;10080;1;1313.95488;1313.95488;;877.4;23.01.2016
100000660;23.01.2016;2016;1;23;ую-3160;10053;1;433.35;433.35;;232.5;23.01.2016
100000660;23.01.2016;2016;1;23;ую-3175;10068;2;2830.98864;5661.97728;;2857.8;23.01.2016
100000660;23.01.2016;2016;1;23;ую-3111;10004;1;1532.88808;1532.88808;;866.21;23.01.2016
100000677;22.11.2016;2016;11;22;ую-3316;10209;1;381.2916672;381.2916672;;218.04;24.11.2016
100000679;16.08.2018;2018;8;16;ую-3144;10037;1;474.0541824;474.0541824;;254.19;17.08.2018
100000679;16.08.2018;2018;8;16;ую-3251;10144;1;696.2031;696.2031;;299.97;17.08.2018
100000682;27.09.2016;2016;9;27;ую-3328;10221;1;416.57616;416.57616;;252.28;28.09.2016
100000682;27.09.2016;2016;9;27;ую-3391;10284;1;438.0662;438.0662;;227.63;28.09.2016
100000682;27.09.2016;2016;9;27;ую-3274;10167;1;1582.0602;1582.0602;;930.18;28.09.2016
100000682;27.09.2016;2016;9;27;ую-3215;10108;2;363.1584;726.3168;;347.52;28.09.2016
100000688;09.02.2017;2017;2;9;ую-3169;10062;1;2002.03168;2002.03168;;946.37;12.02.2017
100000708;06.01.2018;2018;1;6;ую-3325;10218;1;634.85344;634.85344;;446.94;06.01.2018
100000711;17.06.2017;2017;6;17;ую-3221;10114;1;367.5555;367.5555;;175.68;17.06.2017
100000711;17.06.2017;2017;6;17;ую-3120;10013;1;7691.28768;7691.28768;;3412.92;17.06.2017
100000711;17.06.2017;2017;6;17;ую-3335;10228;1;243.82208;243.82208;;167.44;17.06.2017
100000721;07.03.2017;2017;3;7;ую-3371;10264;1;408.969;408.969;;274.59;11.03.2017
100000727;13.01.2017;2017;1;13;ую-3229;10122;1;364.6962;364.6962;;190.71;13.01.2017
100000727;13.01.2017;2017;1;13;ую-3166;10059;2;577.03968;1154.07936;;445.9;13.01.2017
100000746;14.01.2016;2016;1;14;ую-3229;10122;1;300.1482;300.1482;;185.82;14.01.2016
100000746;14.01.2016;2016;1;14;ую-3108;10001;2;2916.4083168;5832.8166336;;4000.44;14.01.2016
100000746;14.01.2016;2016;1;14;ую-3262;10155;1;402.743;402.743;;239.85;14.01.2016
100000762;03.06.2018;2018;6;3;ую-3353;10246;2;218.88;437.76;;364.8;03.06.2018
100000762;03.06.2018;2018;6;3;ую-3405;10298;1;266.593536;266.593536;;185.26;03.06.2018
100000762;03.06.2018;2018;6;3;ую-3363;10256;1;1969.11;1969.11;;1095.12;03.06.2018
100000768;20.10.2017;2017;10;20;ую-3420;10313;1;341.4402;341.4402;;193.14;20.10.2017
100000768;20.10.2017;2017;10;20;ую-3179;10072;1;750.38544;750.38544;;498.3;20.10.2017
100000775;03.01.2018;2018;1;3;ую-3199;10092;1;391.95;391.95;;214.5;03.01.2018
100000775;03.01.2018;2018;1;3;ую-3135;10028;1;784.884072;784.884072;;456.89;03.01.2018
100000775;03.01.2018;2018;1;3;ую-3248;10141;1;551.7072;551.7072;;258;03.01.2018
100000775;03.01.2018;2018;1;3;ую-3373;10266;1;2294.996;2294.996;;1297.91;03.01.2018
100000775;03.01.2018;2018;1;3;ую-3250;10143;1;267.6096;267.6096;;142.56;03.01.2018
100000775;03.01.2018;2018;1;3;ую-3219;10112;1;864.834404;864.834404;;576.81;03.01.2018
100000775;03.01.2018;2018;1;3;ую-3248;10141;1;567.0324;567.0324;;288.96;03.01.2018
100000782;15.12.2017;2017;12;15;ую-3280;10173;1;3570.4836;3570.4836;;2043.6;18.12.2017
100000782;15.12.2017;2017;12;15;ую-3201;10094;2;336.5488;673.0976;;292.94;18.12.2017
100000782;15.12.2017;2017;12;15;ую-3168;10061;1;826.1048;826.1048;;445.74;18.12.2017
100000782;15.12.2017;2017;12;15;ую-3367;10260;1;2283.093504;2283.093504;;1183.72;18.12.2017
100000794;25.02.2018;2018;2;25;ую-3133;10026;1;728.28756;728.28756;;350;28.02.2018
100000794;25.02.2018;2018;2;25;ую-3159;10052;1;934.78;934.78;;431.2;28.02.2018
100000799;29.07.2017;2017;7;29;ую-3116;10009;2;291.58848;583.17696;;259.44;29.07.2017
100000817;17.08.2018;2018;8;17;ую-3151;10044;2;468.73008;937.46016;;524.16;17.08.2018
100000817;17.08.2018;2018;8;17;ую-3142;10035;1;490.550912;490.550912;;306.94;17.08.2018
100000817;17.08.2018;2018;8;17;ую-3330;10223;1;547.884;547.884;;283.02;17.08.2018
100000818;19.12.2016;2016;12;19;ую-3115;10008;1;847.264;847.264;;338.64;24.12.2016
100000822;26.08.2017;2017;8;26;ую-3132;10025;2;247.75208;495.50416;о╡а 645;197.76;26.08.2017
100000822;26.08.2017;2017;8;26;ую-3245;10138;1;126.6;126.6;о╡а 645;75;26.08.2017
100000830;03.07.2017;2017;7;3;ую-3128;10021;1;499.224;499.224;;248.6;03.07.2017
100000844;22.07.2018;2018;7;22;ую-3275;10168;2;446.9;893.8;;446.9;22.07.2018
100000859;12.05.2017;2017;5;12;ую-3397;10290;1;463.269312;463.269312;;230.23;12.05.2017
100000881;27.04.2016;2016;4;27;ую-3174;10067;2;2160.27792;4320.55584;;2336.4;27.04.2016
100000881;27.04.2016;2016;4;27;ую-3132;10025;1;259.32928;259.32928;;97.85;27.04.2016
100000881;27.04.2016;2016;4;27;ую-3224;10117;1;99.225;99.225;;49.5;27.04.2016
100000881;27.04.2016;2016;4;27;ую-3348;10241;1;1496.16;1496.16;;976.66;27.04.2016
100000904;09.07.2017;2017;7;9;ую-3339;10232;1;787.31136;787.31136;;468.16;09.07.2017
100000927;26.03.2016;2016;3;26;ую-3296;10189;1;3345.9536;3345.9536;;1765.96;29.03.2016
100000937;30.04.2016;2016;4;30;ую-3336;10229;1;247.0832864;247.0832864;;145.95;30.04.2016
100000937;30.04.2016;2016;4;30;ую-3197;10090;1;1685.6424;1685.6424;;822.15;30.04.2016
100000937;30.04.2016;2016;4;30;ую-3247;10140;1;392.93856;392.93856;;197.1;30.04.2016
100000945;07.02.2017;2017;2;7;ую-3126;10019;1;5718.3588;5718.3588;;3153.29;07.02.2017
100000947;13.01.2017;2017;1;13;ую-3447;10340;1;868.2716;868.2716;;635.29;13.01.2017
100000947;13.01.2017;2017;1;13;ую-3432;10325;1;620.3232;620.3232;;399.84;13.01.2017
100000954;05.03.2017;2017;3;5;ую-3207;10100;1;5300.442;5300.442;;2931.12;07.03.2017
100000954;05.03.2017;2017;3;5;ую-3251;10144;1;595.8495;595.8495;;339.36;07.03.2017
100000954;05.03.2017;2017;3;5;ую-3336;10229;1;245.49624;245.49624;;133.44;07.03.2017
100000997;20.04.2017;2017;4;20;ую-3230;10123;1;541.236;541.236;о╡а 1152;296.8;20.04.2017
100000997;20.04.2017;2017;4;20;ую-3445;10338;2;1069.434;2138.868;о╡а 1152;1168.2;20.04.2017
100000997;20.04.2017;2017;4;20;ую-3306;10199;2;420.578;841.156;о╡а 1152;479.7;20.04.2017
100000997;20.04.2017;2017;4;20;ую-3319;10212;1;326.407536;326.407536;о╡а 1152;226.1;20.04.2017
100000997;20.04.2017;2017;4;20;ую-3357;10250;1;990.62656;990.62656;о╡а 1152;644;20.04.2017
100001009;24.08.2018;2018;8;24;ую-3201;10094;1;276.661143;276.661143;о╡а 778;137.41;24.08.2018
100001009;24.08.2018;2018;8;24;ую-3158;10051;1;280.553152;280.553152;о╡а 778;129.27;24.08.2018
100001011;19.05.2018;2018;5;19;ую-3387;10280;1;388.8;388.8;;184;19.05.2018
100001013;29.04.2016;2016;4;29;ую-3298;10191;1;159.7831008;159.7831008;;157.68;29.04.2016
100001019;16.02.2017;2017;2;16;ую-3294;10187;1;3238.178944;3238.178944;о╡а 370;2032;16.02.2017
100001019;16.02.2017;2017;2;16;ую-3334;10227;1;523.7496;523.7496;о╡а 370;381.22;16.02.2017
100001019;16.02.2017;2017;2;16;ую-3196;10089;1;1235.608;1235.608;о╡а 370;702.05;16.02.2017
100001019;16.02.2017;2017;2;16;ую-3236;10129;1;819;819;о╡а 370;360;16.02.2017
100001019;16.02.2017;2017;2;16;ую-3416;10309;1;301.476;301.476;о╡а 370;133;16.02.2017
100001021;29.11.2017;2017;11;29;ую-3411;10304;1;554.59404;554.59404;;345.8;04.12.2017
100001036;15.05.2016;2016;5;15;ую-3329;10222;1;486.096;486.096;;378.3;15.05.2016
100001044;02.01.2016;2016;1;2;ую-3379;10272;1;3592.2068;3592.2068;;2163.98;03.01.2016
100001044;02.01.2016;2016;1;2;ую-3305;10198;1;243.3536;243.3536;;144.2;03.01.2016
100001044;02.01.2016;2016;1;2;ую-3135;10028;1;788.20784;788.20784;;495.32;03.01.2016
100001046;19.07.2017;2017;7;19;ую-3172;10065;1;2431.22024;2431.22024;;986.86;23.07.2017
100001046;19.07.2017;2017;7;19;ую-3364;10257;1;1075.5472;1075.5472;;825.92;23.07.2017
100001046;19.07.2017;2017;7;19;ую-3216;10109;1;605.613;605.613;;254.14;23.07.2017
100001046;19.07.2017;2017;7;19;ую-3403;10296;1;587.412;587.412;;232.75;23.07.2017
100001046;19.07.2017;2017;7;19;ую-3223;10116;2;64.077;128.154;;73.78;23.07.2017
100001046;19.07.2017;2017;7;19;ую-3162;10055;2;488.376;976.752;;349.6;23.07.2017
100001046;19.07.2017;2017;7;19;ую-3347;10240;1;884.0284;884.0284;;568.86;23.07.2017
100001053;06.03.2017;2017;3;6;ую-3270;10163;1;1275.6904;1275.6904;о╡а 778;888.06;08.03.2017
100001065;29.06.2016;2016;6;29;ую-3421;10314;1;547.550892;547.550892;;342.38;29.06.2016
100001065;29.06.2016;2016;6;29;ую-3211;10104;2;3553.401204;7106.802408;;3328.08;29.06.2016
100001065;29.06.2016;2016;6;29;ую-3220;10113;1;642.099528;642.099528;;372.78;29.06.2016
100001065;29.06.2016;2016;6;29;ую-3247;10140;1;395.514;395.514;;197.1;29.06.2016
100001065;29.06.2016;2016;6;29;ую-3243;10136;1;844.9896;844.9896;;404.04;29.06.2016
100001065;29.06.2016;2016;6;29;ую-3302;10195;1;396.2992;396.2992;;227.7;29.06.2016
100001079;18.10.2017;2017;10;18;ую-3124;10017;1;3375.35704;3375.35704;;1702.58;18.10.2017
100001085;09.03.2017;2017;3;9;ую-3345;10238;1;443.65344;443.65344;о╡а 733;331.11;09.03.2017
100001085;09.03.2017;2017;3;9;ую-3305;10198;1;265.9328;265.9328;о╡а 733;142.8;09.03.2017
100001094;24.01.2018;2018;1;24;ую-3385;10278;1;415.690872;415.690872;;219.48;25.01.2018
100001108;31.07.2017;2017;7;31;ую-3133;10026;1;719.992;719.992;;416.5;02.08.2017
100001108;31.07.2017;2017;7;31;ую-3358;10251;1;469.9728;469.9728;;266.64;02.08.2017
100001108;31.07.2017;2017;7;31;ую-3124;10017;1;3716.68528;3716.68528;;1843.16;02.08.2017
100001108;31.07.2017;2017;7;31;ую-3156;10049;1;524.4483;524.4483;;244.8;02.08.2017
100001108;31.07.2017;2017;7;31;ую-3334;10227;1;566.88192;566.88192;;385.11;02.08.2017
100001113;07.02.2017;2017;2;7;ую-3315;10208;1;334.548864;334.548864;;225.9;07.02.2017
100001124;28.07.2017;2017;7;28;ую-3164;10057;1;551.264;551.264;;225.4;28.07.2017
100001124;28.07.2017;2017;7;28;ую-3204;10097;2;5213.4616;10426.9232;;5998;28.07.2017
100001139;06.09.2016;2016;9;6;ую-3154;10047;2;266.60496;533.20992;;233.7;08.09.2016
100001146;20.12.2017;2017;12;20;ую-3333;10226;1;333.6704;333.6704;;202;25.12.2017
100001149;16.07.2017;2017;7;16;ую-3226;10119;1;284.376;284.376;о╡а 1011;146.88;16.07.2017
100001150;10.06.2016;2016;6;10;ую-3344;10237;1;1229.53248;1229.53248;;844.71;10.06.2016
100001171;16.05.2017;2017;5;16;ую-3246;10139;1;175.9401;175.9401;;107;16.05.2017
100001171;16.05.2017;2017;5;16;ую-3409;10302;2;698.29812;1396.59624;;754.56;16.05.2017
100001171;16.05.2017;2017;5;16;ую-3343;10236;1;1712.2135072;1712.2135072;;1122.51;16.05.2017
100001171;16.05.2017;2017;5;16;ую-3437;10330;1;576.576;576.576;;279.72;16.05.2017
100001184;14.09.2018;2018;9;14;ую-3179;10072;1;741.45228;741.45228;;439.41;17.09.2018
100001192;10.09.2018;2018;9;10;ую-3410;10303;1;241.203;241.203;;113.22;10.09.2018
100001192;10.09.2018;2018;9;10;ую-3246;10139;1;199.8332;199.8332;;118.77;10.09.2018
100001213;19.12.2017;2017;12;19;ую-3380;10273;1;2750.22;2750.22;;1541.79;23.12.2017
100001220;22.09.2016;2016;9;22;ую-3125;10018;1;6317.8496;6317.8496;;3284.96;22.09.2016
100001220;22.09.2016;2016;9;22;ую-3280;10173;1;2906.9424;2906.9424;;2122.2;22.09.2016
100001224;05.11.2017;2017;11;5;ую-3428;10321;1;2201.2808;2201.2808;;1248.16;07.11.2017
100001239;02.06.2016;2016;6;2;ую-3109;10002;1;4299.03888;4299.03888;;1944.36;05.06.2016
100001243;28.07.2017;2017;7;28;ую-3276;10169;1;595.386;595.386;;365.8;02.08.2017
100001243;28.07.2017;2017;7;28;ую-3306;10199;1;362.0628;362.0628;;188.6;02.08.2017
100001243;28.07.2017;2017;7;28;ую-3262;10155;1;305.0564;305.0564;;215.25;02.08.2017
100001282;25.01.2017;2017;1;25;ую-3111;10004;2;1967.800512;3935.601024;;1857.44;29.01.2017
100001282;25.01.2017;2017;1;25;ую-3172;10065;1;2195.17944;2195.17944;;936.51;29.01.2017
100001293;23.07.2018;2018;7;23;ую-3204;10097;1;6039.986;6039.986;;2699.1;26.07.2018
100001294;14.06.2017;2017;6;14;ую-3434;10327;1;1616.9876;1616.9876;;994.12;17.06.2017
100001344;14.09.2017;2017;9;14;ую-3202;10095;1;6013.729855;6013.729855;;3593;19.09.2017
100001351;15.07.2017;2017;7;15;ую-3199;10092;1;272.7972;272.7972;;216.45;15.07.2017
100001351;15.07.2017;2017;7;15;ую-3135;10028;2;993.7116672;1987.4233344;;913.78;15.07.2017
100001360;26.05.2017;2017;5;26;ую-3426;10319;1;1721.4021;1721.4021;;895.07;26.05.2017
100001360;26.05.2017;2017;5;26;ую-3218;10111;1;302.325144;302.325144;;168.3;26.05.2017
100001368;18.01.2018;2018;1;18;ую-3316;10209;1;352.6696512;352.6696512;;237;18.01.2018
100001368;18.01.2018;2018;1;18;ую-3422;10315;1;382.1815;382.1815;;215.39;18.01.2018
100001368;18.01.2018;2018;1;18;ую-3267;10160;1;805.92;805.92;;414;18.01.2018
100001368;18.01.2018;2018;1;18;ую-3267;10160;2;805.92;1611.84;;1021.2;18.01.2018
100001377;20.06.2017;2017;6;20;ую-3160;10053;1;454.75;454.75;;232.5;23.06.2017
100001388;20.01.2016;2016;1;20;ую-3439;10332;2;1707.378;3414.756;;1603.42;24.01.2016
100001388;20.01.2016;2016;1;20;ую-3360;10253;1;495.816;495.816;;280.17;24.01.2016
100001388;20.01.2016;2016;1;20;ую-3117;10010;1;6358.5144;6358.5144;;2898.42;24.01.2016
